PLAYER_LAST_NAME,PLAYER_FIRST_NAME,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,POSITION,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,ROSTER_STATUS,PTS,REB,AST,FROM_YEAR,TO_YEAR
Stevens,Lamar,Cleveland,Cavaliers,CLE,F,"6'6""",230 lbs,Penn State,USA,,,,1.0,4.1,2.5,0.9,2020,2020
Stewart,Isaiah,Detroit,Pistons,DET,F-C,"6'8""",250 lbs,Washington,USA,2020.0,1.0,16.0,1.0,5.6,5.9,0.7,2020,2020
Strus,Max,Miami,Heat,MIA,G-F,"6'5""",215 lbs,DePaul,USA,,,,1.0,7.1,1.1,0.5,2019,2020
Sumner,Edmond,Indiana,Pacers,IND,G,"6'4""",196 lbs,Xavier,USA,2017.0,2.0,52.0,1.0,5.0,1.4,0.4,2017,2020
Tate,Jae'Sean,Houston,Rockets,HOU,F,"6'4""",230 lbs,Ohio State,USA,,,,1.0,9.9,5.3,1.6,2020,2020
Tatum,Jayson,Boston,Celtics,BOS,F-G,"6'8""",210 lbs,Duke,USA,2017.0,1.0,3.0,1.0,25.1,7.0,4.4,2017,2020
Teague,Jeff,Boston,Celtics,BOS,G,"6'3""",195 lbs,Wake Forest,USA,2009.0,1.0,19.0,1.0,6.4,1.6,2.1,2009,2020
Temple,Garrett,Chicago,Bulls,CHI,G-F,"6'5""",195 lbs,Louisiana State,USA,,,,1.0,8.5,3.1,2.0,2009,2020
Terry,Tyrell,Dallas,Mavericks,DAL,G,"6'2""",160 lbs,Stanford,USA,2020.0,2.0,31.0,1.0,1.0,0.5,0.5,2020,2020
Theis,Daniel,Boston,Celtics,BOS,F-C,"6'8""",245 lbs,Brose Bamberg,Germany,,,,1.0,9.5,5.1,1.3,2017,2020
Thomas,Brodric,Cleveland,Cavaliers,CLE,G,"6'5""",185 lbs,Truman State,USA,,,,1.0,2.6,1.0,0.8,2020,2020
Thomas,Matt,Toronto,Raptors,TOR,G,"6'4""",190 lbs,Iowa State,USA,,,,1.0,2.6,0.8,0.4,2019,2020
Thompson,Tristan,Boston,Celtics,BOS,C-F,"6'9""",254 lbs,Texas,Canada,2011.0,1.0,4.0,1.0,7.9,8.3,1.0,2011,2020
Thornwell,Sindarius,New Orleans,Pelicans,NOP,G,"6'4""",215 lbs,South Carolina,USA,2017.0,2.0,48.0,1.0,1.3,0.4,0.3,2017,2020
Thybulle,Matisse,Philadelphia,76ers,PHI,G-F,"6'5""",201 lbs,Washington,USA,2019.0,1.0,20.0,1.0,3.5,1.6,1.0,2019,2020
Tillie,Killian,Memphis,Grizzlies,MEM,F-C,"6'9""",220 lbs,Gonzaga,France,,,,1.0,1.5,1.0,0.0,2020,2020
Tillman,Xavier,Memphis,Grizzlies,MEM,F,"6'8""",245 lbs,Michigan State,USA,2020.0,2.0,35.0,1.0,6.7,4.5,1.6,2020,2020
Toppin,Obi,New York,Knicks,NYK,F,"6'9""",220 lbs,Dayton,USA,2020.0,1.0,8.0,1.0,4.9,2.6,0.6,2020,2020
Toscano-Anderson,Juan,Golden State,Warriors,GSW,F,"6'6""",209 lbs,Marquette,USA,,,,1.0,5.6,4.4,2.3,2019,2020
Towns,Karl-Anthony,Minnesota,Timberwolves,MIN,C-F,"6'11""",248 lbs,Kentucky,USA,2015.0,1.0,1.0,1.0,22.3,10.7,3.8,2015,2020
Trent Jr.,Gary,Portland,Trail Blazers,POR,G-F,"6'5""",209 lbs,Duke,USA,2018.0,2.0,37.0,1.0,15.2,2.1,1.5,2018,2020
Tucker,P.J.,Houston,Rockets,HOU,F,"6'5""",245 lbs,Texas,USA,2006.0,2.0,35.0,1.0,4.4,4.6,1.4,2006,2020
Turner,Myles,Indiana,Pacers,IND,C-F,"6'11""",250 lbs,Texas,USA,2015.0,1.0,11.0,1.0,13.4,6.5,1.0,2015,2020
Valanciunas,Jonas,Memphis,Grizzlies,MEM,C,"6'11""",265 lbs,Lietuvos rytas Vilnius,Lithuania,2011.0,1.0,5.0,1.0,16.0,11.6,1.8,2012,2020
Valentine,Denzel,Chicago,Bulls,CHI,G,"6'4""",220 lbs,Michigan State,USA,2016.0,1.0,14.0,1.0,7.8,4.1,1.8,2016,2020
VanVleet,Fred,Toronto,Raptors,TOR,G,"6'1""",197 lbs,Wichita State,USA,,,,1.0,20.1,4.4,6.6,2016,2020
